Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01,150.5,153.0,150.5,152.0,146.727814,6969200.0
2017-02-02,152.0,153.0,151.0,151.0,145.76251200000002,6529100.0
2017-02-03,151.0,153.5,151.0,153.0,147.69313,6597700.0
2017-02-06,154.0,155.0,153.5,154.5,149.141098,9901200.0
2017-02-07,154.5,155.0,153.5,154.0,148.658447,3802600.0
2017-02-08,153.5,154.5,153.0,154.0,148.658447,5747300.0
2017-02-09,154.5,156.0,153.5,154.0,148.658447,6157400.0
2017-02-10,154.5,155.0,154.0,154.0,148.658447,9620500.0
2017-02-13,154.0,154.0,154.0,154.0,148.658447,0.0
2017-02-14,155.0,156.0,153.0,154.0,148.658447,9754000.0
